sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0,064;61;;60rounds;No;No;1;0,00000;0,00000;1,08556;1,20458;0,00000;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@0;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party2_utility.xml;party3_utility.xml
0,050;61;;60rounds;No;No;1;0,00000;0,00000;1,08556;1,20458;0,00000;KLH@2;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party2_utility.xml;party3_utility.xml
0,984;61;;60rounds;Yes;No;2;0,44394;0,95889;0,02992;0,42225;1,40283;NiceTitForTat@4;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@5;0.4439431513391262;0.9588854050078842;0.4439431513391262;0.9588854050078842;0.0;0.9588854050078842;0.0;0.0;0.4439431513391262;0.9588854050078842;party2_utility.xml;party3_utility.xml
0,048;61;;60rounds;No;No;1;0,00000;0,00000;1,08556;1,20458;0,00000;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@6;KLH@7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party2_utility.xml;party3_utility.xml
0,044;61;;60rounds;No;No;1;0,00000;0,00000;1,08556;1,20458;0,00000;KLH@8;KLH@9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party2_utility.xml;party3_utility.xml
1,037;61;;60rounds;Yes;No;2;0,42438;0,96411;0,03450;0,44250;1,38850;NiceTitForTat@10;KLH@11;0.42438264798752434;0.9641144017432332;0.42438264798752434;0.9641144017432332;0.0;0.0;0.0;0.0;0.42438264798752434;0.9641144017432332;party2_utility.xml;party3_utility.xml
1,023;61;;60rounds;Yes;No;2;0,61406;0,94749;0,01553;0,25562;1,56154;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@12;NiceTitForTat@13;0.9474860195378878;0.6140582898780491;0.9474860195378878;0.6140582898780491;0.9474860195378878;0.0;0.0;0.0;0.9474860195378878;0.6140582898780491;party2_utility.xml;party3_utility.xml
1,019;61;;60rounds;Yes;No;2;0,61406;0,94749;0,01553;0,25562;1,56154;KLH@14;NiceTitForTat@15;0.9474860195378878;0.6140582898780491;0.9474860195378878;0.6140582898780491;0.0;0.0;0.0;0.0;0.9474860195378878;0.6140582898780491;party2_utility.xml;party3_utility.xml
1,964;61;;60rounds;Yes;No;2;0,64241;0,86935;0,04656;0,21062;1,51176;NiceTitForTat@16;NiceTitForTat@17;0.6424119955534886;0.8693465452612584;0.6424119955534886;0.8693465452612584;0.0;0.0;0.0;0.0;0.6424119955534886;0.8693465452612584;party2_utility.xml;party3_utility.xml
0,041;61;;60rounds;No;No;1;0,00000;0,00000;1,10767;1,18562;0,00000;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@18;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party3_utility.xml
